Postal code ;Locality;Population
(april 2009);;(2008-12-31)
11538;STOCKHOLM           ;1241
11539;STOCKHOLM           ;887
11540;STOCKHOLM           ;1088
11541;STOCKHOLM           ;5
11542;STOCKHOLM           ;1209
11543;STOCKHOLM           ;1008
11550;STOCKHOLM           ;1723
11551;STOCKHOLM           ;168
11553;STOCKHOLM           ;1044
11556;STOCKHOLM           ;2
11557;STOCKHOLM           ;1156
11558;STOCKHOLM           ;739
11559;STOCKHOLM           ;811
11620;STOCKHOLM           ;1278
11621;STOCKHOLM           ;1064
11622;STOCKHOLM           ;1211
11623;STOCKHOLM           ;942
11624;STOCKHOLM           ;1435
11625;STOCKHOLM           ;1243
11628;STOCKHOLM           ;961
11629;STOCKHOLM           ;1074
11630;STOCKHOLM           ;1193
11631;STOCKHOLM           ;1318
11632;STOCKHOLM           ;1417
11633;STOCKHOLM           ;1366
11634;STOCKHOLM           ;1575
11635;STOCKHOLM           ;1146
11636;STOCKHOLM           ;1040
11637;STOCKHOLM           ;923
11638;STOCKHOLM           ;1079
11639;STOCKHOLM           ;1154
11640;STOCKHOLM           ;1440
11641;STOCKHOLM           ;2207
11642;STOCKHOLM           ;1233
11643;STOCKHOLM           ;1325
11644;STOCKHOLM           ;460
11645;STOCKHOLM           ;32
11646;STOCKHOLM           ;1016
11647;STOCKHOLM           ;1210
11661;STOCKHOLM           ;1744
11662;STOCKHOLM           ;1013
11663;STOCKHOLM           ;1338
11664;STOCKHOLM           ;1187
11665;STOCKHOLM           ;1118
11666;STOCKHOLM           ;884
11667;STOCKHOLM           ;1412
11668;STOCKHOLM           ;1292
11726;STOCKHOLM           ;1461
11727;STOCKHOLM           ;1207
11728;STOCKHOLM           ;1471
11729;STOCKHOLM           ;1121
11730;STOCKHOLM           ;1289
11731;STOCKHOLM           ;987
11732;STOCKHOLM           ;1414
11733;STOCKHOLM           ;1423
11734;STOCKHOLM           ;820
11735;STOCKHOLM           ;556
11736;STOCKHOLM           ;1170
11737;STOCKHOLM           ;1095
11738;STOCKHOLM           ;1201
11739;STOCKHOLM           ;1020
11740;STOCKHOLM           ;1109
11741;STOCKHOLM           ;2312
11743;STOCKHOLM           ;28
11750;STOCKHOLM           ;1099
11758;STOCKHOLM           ;871
11759;STOCKHOLM           ;1108
11761;STOCKHOLM           ;1424
11762;STOCKHOLM           ;1064
11763;STOCKHOLM           ;1218
11764;STOCKHOLM           ;1045
11765;STOCKHOLM           ;1508
11766;STOCKHOLM           ;1034
11767;STOCKHOLM           ;2096
11768;STOCKHOLM           ;1310
11769;STOCKHOLM           ;1723
11820;STOCKHOLM           ;744
11821;STOCKHOLM           ;999
11822;STOCKHOLM           ;762
11823;STOCKHOLM           ;1446
11824;STOCKHOLM           ;953
11825;STOCKHOLM           ;1157
11826;STOCKHOLM           ;1068
11827;STOCKHOLM           ;1483
11828;STOCKHOLM           ;1680
11829;STOCKHOLM           ;1568
11830;STOCKHOLM           ;564
11842;STOCKHOLM           ;1301
11846;STOCKHOLM           ;1241
11847;STOCKHOLM           ;1210
11848;STOCKHOLM           ;1270
11849;STOCKHOLM           ;1136
11850;STOCKHOLM           ;1529
11851;STOCKHOLM           ;1361
11852;STOCKHOLM           ;1352
11853;STOCKHOLM           ;934
11854;STOCKHOLM           ;1569
11855;STOCKHOLM           ;790
11856;STOCKHOLM           ;1603
11857;STOCKHOLM           ;1321
11858;STOCKHOLM           ;1070
11859;STOCKHOLM           ;1485
11860;STOCKHOLM           ;779
11861;STOCKHOLM           ;1518
11862;STOCKHOLM           ;426
11863;STOCKHOLM           ;1685
11864;STOCKHOLM           ;1416
11865;STOCKHOLM           ;947
11866;STOCKHOLM           ;1108
11867;STOCKHOLM           ;1073
11869;STOCKHOLM           ;432
11872;STOCKHOLM           ;1
12030;STOCKHOLM           ;40
12031;STOCKHOLM           ;18
